SYMBOL	ENTREZID	GENENAME	469Siglec9minus	469Siglec9plus	474Siglec9minus	474Siglec9plus	475Siglec9minus	475Siglec9plus	477Siglec9minus	477Siglec9plus	483Siglec9minus	483Siglec9plus	485Siglec9minus	485Siglec9plus
ABCA7	10347	ATP binding cassette subfamily A member 7	322	413	381	324	238	704	20	179	373	694	364	2
ABCA8	10351	ATP binding cassette subfamily A member 8	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	10350	ATP binding cassette subfamily A member 9	0	0	0	0	0	0	0	0	1	0	0	0
ABCA9-AS1	104355297	ABCA9 antisense RNA 1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	5243	ATP binding cassette subfamily B member 1	1111	2019	3969	3843	4335	2078	2172	4255	4218	3737	2677	1865
ABCB10	23456	ATP binding cassette subfamily B member 10	764	400	171	253	340	13	143	100	820	214	0	55
ABCB11	8647	ATP binding cassette subfamily B member 11	0	121	0	0	0	0	0	0	0	0	0	0
ABCB4	5244	ATP binding cassette subfamily B member 4	0	1	0	1	0	0	0	0	0	2	0	0
ABCB5	340273	ATP binding cassette subfamily B member 5	0	0	0	0	0	0	0	37	0	0	0	0
ABCB6	10058	ATP binding cassette subfamily B member 6 (Langereis blood group)	78	3	0	0	0	0	8	0	0	0	23	0
ABCB7	22	ATP binding cassette subfamily B member 7	1493	782	19	964	456	768	45	1378	781	584	0	1022
ABCB8	11194	ATP binding cassette subfamily B member 8	329	0	0	285	576	0	1	277	0	0	0	0
ABCB9	23457	ATP binding cassette subfamily B member 9	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	4363	ATP binding cassette subfamily C member 1	2166	2808	1723	2669	2012	2015	2730	2128	1892	627	464	805
ABCC10	89845	ATP binding cassette subfamily C member 10	353	826	169	560	876	3	198	128	108	278	0	2
ABCC11	85320	ATP binding cassette subfamily C member 11	0	0	0	0	0	0	0	0	0	0	0	1
ABCC12	94160	ATP binding cassette subfamily C member 12	0	0	0	0	236	0	0	0	0	0	371	0
ABCC13	150000	ATP binding cassette subfamily C member 13 (pseudogene)	0	0	86	0	0	11	0	0	0	0	0	0
ABCC2	1244	ATP binding cassette subfamily C member 2	0	0	0	0	376	0	0	0	0	0	0	0
ABCC3	8714	ATP binding cassette subfamily C member 3	0	0	0	0	0	0	0	0	0	0	0	0
ABCC4	10257	ATP binding cassette subfamily C member 4	2	571	422	681	586	761	0	746	172	804	1761	200
ABCC5	10057	ATP binding cassette subfamily C member 5	560	50	593	379	420	249	816	308	291	3	753	0
ABCC5-AS1	100873982	ABCC5 antisense RNA 1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	368	ATP binding cassette subfamily C member 6	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P1	653190	ATP binding cassette subfamily C member 6 pseudogene 1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	730013	ATP binding cassette subfamily C member 6 pseudogene 2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	6833	ATP binding cassette subfamily C member 8	0	0	1	0	0	0	0	0	0	0	0	0
ABCC9	10060	ATP binding cassette subfamily C member 9	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	215	ATP binding cassette subfamily D member 1	33	49	80	0	0	0	0	0	0	0	0	28
ABCD2	225	ATP binding cassette subfamily D member 2	202	895	70	519	791	1	16	498	807	9	102	0
ABCD3	5825	ATP binding cassette subfamily D member 3	984	781	435	312	853	4	1196	505	2192	872	67	0
ABCD4	5826	ATP binding cassette subfamily D member 4	501	511	56	472	666	0	352	299	209	263	0	1
ABCE1	6059	ATP binding cassette subfamily E member 1	907	1012	700	1642	1415	1087	2459	1155	1509	156	688	1
ABCF1	23	ATP binding cassette subfamily F member 1	3413	2192	3962	2436	3974	2130	3585	3244	2750	3880	935	662
ABCF2	10061	ATP binding cassette subfamily F member 2	433	783	1014	472	244	1362	1084	597	489	676	309	539
ABCF3	55324	ATP binding cassette subfamily F member 3	383	644	383	2	1072	1011	612	478	419	1131	1	953
ABCG1	9619	ATP binding cassette subfamily G member 1	1491	3133	1735	1513	1680	825	2005	2898	1207	1749	1201	8
ABCG2	9429	ATP binding cassette subfamily G member 2 (Junior blood group)	222	0	249	38	0	0	0	8	0	0	0	0
ABCG4	64137	ATP binding cassette subfamily G member 4	4	0	0	0	0	0	0	0	0	0	1	0
ABCG5	64240	ATP binding cassette subfamily G member 5	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	64241	ATP binding cassette subfamily G member 8	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	84696	abhydrolase domain containing 1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	55347	abhydrolase domain containing 10	166	424	389	229	404	478	586	10	575	416	222	0
ABHD11	83451	abhydrolase domain containing 11	1	0	269	87	0	0	408	0	0	95	561	0
ABHD11-AS1	171022	ABHD11 antisense RNA 1 (tail to tail)	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	26090	abhydrolase domain containing 12	27	223	528	224	41	234	9	0	242	512	0	0
ABHD12B	145447	abhydrolase domain containing 12B	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	84945	abhydrolase domain containing 13	1656	609	804	2106	2796	886	598	992	1589	1477	423	160
ABHD14A	25864	abhydrolase domain containing 14A	0	26	0	7	271	0	0	0	0	19	0	7
ABHD14A-ACY1	100526760	ABHD14A-ACY1 readthrough	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	84836	abhydrolase domain containing 14B	139	1356	407	728	779	195	917	949	557	685	324	9
ABHD15	116236	abhydrolase domain containing 15	534	276	571	441	82	1322	0	135	233	588	60	1
ABHD16A	7920	abhydrolase domain containing 16A	730	560	808	426	89	352	292	386	0	258	230	0
ABHD16B	140701	abhydrolase domain containing 16B	1	0	0	0	1	0	0	0	1	0	1	3
ABHD17A	81926	abhydrolase domain containing 17A	397	423	294	3	415	0	124	4	0	362	0	1746
ABHD17B	51104	abhydrolase domain containing 17B	1004	588	1897	1240	1456	386	776	1689	419	908	847	310
ABHD17C	58489	abhydrolase domain containing 17C	0	153	192	34	432	1	8	207	4	5	4	3
ABHD2	11057	abhydrolase domain containing 2	2405	4888	3520	3036	4952	4797	2405	3629	2255	3782	1904	214
ABHD3	171586	abhydrolase domain containing 3	463	146	1254	633	46	39	471	372	927	599	1	0
ABHD4	63874	abhydrolase domain containing 4	344	232	270	143	0	0	709	0	1	0	0	0
ABHD5	51099	abhydrolase domain containing 5	1332	1091	2164	3188	1525	1587	1207	2870	1037	1333	89	1133
ABHD6	57406	abhydrolase domain containing 6	0	11	271	39	0	1	0	5	0	1	0	0
ABHD8	79575	abhydrolase domain containing 8	0	138	0	0	0	0	0	0	31	0	0	0
ABI1	10006	abl interactor 1	4710	4698	3490	5334	6861	2580	5635	7228	5156	6259	1348	790
ABI2	10152	abl interactor 2	924	533	585	721	701	383	344	922	296	2	1	0
ABI3	51225	ABI family member 3	683	1067	1508	760	1567	187	316	461	576	517	1412	204
ABI3BP	25890	ABI family member 3 binding protein	3	0	0	0	0	0	0	0	0	0	0	0
ABL1	25	ABL proto-oncogene 1, non-receptor tyrosine kinase	1046	1348	948	579	1061	965	1887	435	923	1	0	0
ABL2	27	ABL proto-oncogene 2, non-receptor tyrosine kinase	725	679	236	195	1106	1421	590	501	584	877	89	819
ABLIM1	3983	actin binding LIM protein 1	4964	3429	3670	3725	5097	1808	2698	4393	4781	929	2536	351
ABLIM2	84448	actin binding LIM protein family member 2	0	88	0	0	315	0	0	1	0	0	472	1
ABLIM3	22885	actin binding LIM protein family member 3	0	0	0	0	0	0	0	0	0	0	0	0
ABO	28	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	0	1	0	1	3	651	0	1	0	0	0	0
ABR	29	active BCR-related	1632	3019	1225	1729	1368	1190	4051	1100	1883	2329	1177	3
ABRA	137735	actin binding Rho activating protein	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	58527	ABRA C-terminal like	386	241	85	151	1088	103	155	605	58	914	1	165
ABT1	29777	activator of basal transcription 1	132	790	1008	0	113	374	244	473	296	1	0	0
ABTB1	80325	ankyrin repeat and BTB domain containing 1	889	378	0	204	746	0	1	436	210	0	164	0
ABTB2	25841	ankyrin repeat and BTB domain containing 2	0	137	590	279	686	231	13	0	116	594	90	8
ACAA1	30	acetyl-CoA acyltransferase 1	267	301	179	19	355	44	10	88	1117	0	1	0
ACAA2	10449	acetyl-CoA acyltransferase 2	1500	730	85	440	445	1177	320	786	1485	708	583	191
ACACA	31	acetyl-CoA carboxylase alpha	2320	1586	496	1366	1327	397	1323	605	476	435	757	504
ACACB	32	acetyl-CoA carboxylase beta	64	465	311	146	983	850	240	678	250	259	9	2
ACAD10	80724	acyl-CoA dehydrogenase family member 10	26	91	84	9	120	27	33	833	449	0	0	0
ACAD11	84129	acyl-CoA dehydrogenase family member 11	8	0	0	0	252	0	79	0	0	0	0	0
ACAD8	27034	acyl-CoA dehydrogenase family member 8	606	27	299	22	1	0	132	46	0	0	0	1
ACAD9	28976	acyl-CoA dehydrogenase family member 9	371	285	191	256	168	287	7	154	27	1	0	266
ACADL	33	acyl-CoA dehydrogenase long chain	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	34	acyl-CoA dehydrogenase medium chain	496	1123	139	476	14	0	2	836	372	64	1527	335
ACADS	35	acyl-CoA dehydrogenase short chain	267	182	44	85	0	0	8	1	0	2	0	0
ACADSB	36	acyl-CoA dehydrogenase short/branched chain	497	868	841	178	1039	415	399	1060	1150	0	1503	11
ACADVL	37	acyl-CoA dehydrogenase very long chain	1290	1317	1474	491	1101	77	1579	92	968	1954	0	516
ACAN	176	aggrecan	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	9744	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	2764	2063	1607	1109	1697	339	786	1716	1228	1004	1371	632
ACAP2	23527	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	3480	3525	1916	3264	5468	3439	2735	4359	2144	3114	864	651
ACAP3	116983	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	230	175	25	216	659	0	0	0	0	36	0	0
ACAT1	38	acetyl-CoA acetyltransferase 1	178	312	451	516	292	574	292	243	0	2	138	445
ACAT2	39	acetyl-CoA acetyltransferase 2	374	272	1367	891	405	114	341	2126	368	131	348	13
ACBD3	64746	acyl-CoA binding domain containing 3	2837	3225	1808	3046	1919	1040	2392	3152	2704	1403	1646	1
ACBD4	79777	acyl-CoA binding domain containing 4	269	80	0	0	0	24	2	0	0	0	0	0
ACBD5	91452	acyl-CoA binding domain containing 5	1243	1073	1275	293	1396	304	1158	1287	431	949	503	25
ACBD6	84320	acyl-CoA binding domain containing 6	787	400	362	82	41	0	0	194	226	392	0	0
ACBD7	414149	acyl-CoA binding domain containing 7	0	0	0	0	0	12	0	0	0	0	0	1
ACCS	84680	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	52	0	0	0	1	91	0	0	0	0	0	0
ACCSL	390110	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	0	0	0	0	0	0	0	0	0	0	0	0
ACD	65057	ACD, shelterin complex subunit and telomerase recruitment factor	664	338	199	74	105	34	487	28	2	13	0	0
ACE	1636	angiotensin I converting enzyme	1	136	0	10	0	0	0	0	0	0	1	0
ACE2	59272	angiotensin I converting enzyme 2	1	1	1	3	0	1	1	14	3	5	3	11
ACER1	125981	alkaline ceramidase 1	0	1	0	2	1	0	1	0	1	0	2	1
ACER2	340485	alkaline ceramidase 2	0	0	90	19	557	61	104	0	0	0	0	0
ACER3	55331	alkaline ceramidase 3	475	296	175	467	253	0	12	70	814	0	20	0
ACHE	43	acetylcholinesterase (Cartwright blood group)	0	0	0	0	0	117	0	0	1	4	2	1
ACIN1	22985	apoptotic chromatin condensation inducer 1	4532	3402	3302	4729	6144	867	1575	2275	2868	1695	1733	528
ACKR1	2532	atypical chemokine receptor 1 (Duffy blood group)	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	1238	atypical chemokine receptor 2	0	0	0	0	5	1	0	0	0	0	0	0
ACKR3	57007	atypical chemokine receptor 3	0	8	5	0	0	0	0	0	0	0	0	0
ACKR4	51554	atypical chemokine receptor 4	0	0	262	0	0	0	0	0	0	0	0	0
ACLY	47	ATP citrate lyase	4194	2830	3313	2805	2715	1303	2851	3091	3685	4302	594	856
ACMSD	130013	aminocarboxymuconate semialdehyde decarboxylase	0	0	0	0	26	0	0	0	0	0	0	0
ACO1	48	aconitase 1	179	177	1021	119	969	149	61	225	49	0	0	0
ACO2	50	aconitase 2	328	1442	914	951	204	1391	26	686	562	559	231	322
ACOT1	641371	acyl-CoA thioesterase 1	0	9	0	0	0	0	0	0	146	0	0	0
ACOT11	26027	acyl-CoA thioesterase 11	0	0	0	0	0	0	0	111	0	0	0	1
ACOT12	134526	acyl-CoA thioesterase 12	5	0	0	0	0	248	0	0	0	0	0	0
ACOT13	55856	acyl-CoA thioesterase 13	13	289	252	156	46	288	498	177	747	371	85	2
ACOT2	10965	acyl-CoA thioesterase 2	86	48	147	11	0	6	5	348	6	4	0	0
ACOT4	122970	acyl-CoA thioesterase 4	0	0	0	0	0	0	0	0	0	0	0	0
ACOT6	641372	acyl-CoA thioesterase 6	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	11332	acyl-CoA thioesterase 7	43	136	291	217	351	0	0	141	1	572	1248	0
ACOT8	10005	acyl-CoA thioesterase 8	185	49	0	0	79	0	0	131	0	1	0	530
ACOT9	23597	acyl-CoA thioesterase 9	173	71	35	236	483	101	869	847	702	296	0	0
ACOX1	51	acyl-CoA oxidase 1	821	652	727	741	1630	316	465	208	39	810	408	62
ACOX2	8309	acyl-CoA oxidase 2	0	0	0	0	0	0	0	0	0	0	0	1
ACOX3	8310	acyl-CoA oxidase 3, pristanoyl	19	268	0	243	780	743	141	314	67	0	2	0
ACOXL	55289	acyl-CoA oxidase like	0	11	0	0	0	0	0	0	0	0	0	0
ACP1	52	acid phosphatase 1	805	1109	1360	1427	1045	29	947	1817	911	1447	1	509
ACP2	53	acid phosphatase 2, lysosomal	300	111	1630	117	639	0	114	63	0	1	1	699
ACP5	54	acid phosphatase 5, tartrate resistant	327	585	391	198	1	0	723	100	1264	1389	0	0
ACP6	51205	acid phosphatase 6, lysophosphatidic	266	0	358	1	0	0	0	420	587	745	0	0
ACPP	55	acid phosphatase, prostate	0	55	0	0	0	0	0	0	0	0	0	1
ACR	49	acrosin	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	84519	acrosin binding protein	0	0	0	0	0	0	138	0	0	0	0	0
ACRV1	56	acrosomal vesicle protein 1	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG1	23205	acyl-CoA synthetase bubblegum family member 1	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG2	81616	acyl-CoA synthetase bubblegum family member 2	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	80221	acyl-CoA synthetase family member 2	130	157	1	775	309	1	0	107	1	0	0	0
ACSF3	197322	acyl-CoA synthetase family member 3	550	45	336	553	38	240	6	110	173	219	5	301
ACSL1	2180	acyl-CoA synthetase long chain family member 1	618	486	681	993	2225	224	618	1355	2617	1243	740	149
ACSL3	2181	acyl-CoA synthetase long chain family member 3	1386	1740	1223	2859	2106	81	878	3058	1326	395	822	27
ACSL4	2182	acyl-CoA synthetase long chain family member 4	2636	2867	3150	3324	2233	717	4718	4942	2362	2501	2047	1120
ACSL5	51703	acyl-CoA synthetase long chain family member 5	1662	1951	1282	1972	3472	881	1014	2340	2199	1663	499	68
ACSL6	23305	acyl-CoA synthetase long chain family member 6	302	175	456	666	270	391	371	425	0	3	274	536
ACSM1	116285	acyl-CoA synthetase medium chain family member 1	98	5	0	0	0	0	0	0	0	0	0	0
ACSM2A	123876	acyl-CoA synthetase medium chain family member 2A	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	348158	acyl-CoA synthetase medium chain family member 2B	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	6296	acyl-CoA synthetase medium chain family member 3	0	3	0	0	0	2	0	289	1	0	0	2
ACSM4	341392	acyl-CoA synthetase medium chain family member 4	0	0	0	0	0	248	0	0	0	0	0	0
ACSM5	54988	acyl-CoA synthetase medium chain family member 5	0	0	0	0	0	0	1	0	3	0	0	0
ACSM6	142827	acyl-CoA synthetase medium chain family member 6	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	84532	acyl-CoA synthetase short chain family member 1	878	617	1275	518	653	432	1333	848	597	2421	48	0
ACSS2	55902	acyl-CoA synthetase short chain family member 2	131	0	0	2	143	0	0	77	0	0	0	0
ACSS3	79611	acyl-CoA synthetase short chain family member 3	0	0	0	0	0	17	0	0	0	0	0	0
ACTA1	58	actin, alpha 1, skeletal muscle	0	3	0	0	1	1	1	0	1	5	2	1
ACTA2	59	actin, alpha 2, smooth muscle, aorta	423	180	1	54	279	0	492	277	412	2	1	2
ACTA2-AS1	100132116	ACTA2 antisense RNA 1	171	292	1	1	0	0	0	1	0	0	24	6
ACTB	60	actin beta	30281	37415	16374	22178	26296	13609	14230	23562	20181	13994	9299	10405
ACTBL2	345651	actin, beta like 2	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	70	actin, alpha, cardiac muscle 1	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1	71	actin gamma 1	44789	53236	29777	39909	45461	23917	31064	59742	33028	35062	25309	18844
ACTG1P17	283693	actin gamma 1 pseudogene 17	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P20	644961	actin gamma 1 pseudogene 20	0	4	99	0	445	375	2	0	4	3	7	113
ACTG1P4	648740	actin gamma 1 pseudogene 4	254	0	106	0	0	1	0	0	0	0	2	0
ACTG2	72	actin, gamma 2, smooth muscle, enteric	0	0	0	0	1	0	0	0	0	0	3	0
ACTL10	170487	actin like 10	0	0	0	0	0	0	0	0	0	1	0	0
ACTL6A	86	actin like 6A	292	406	911	526	49	19	1	658	870	0	0	0
ACTL6B	51412	actin like 6B	0	0	191	0	0	0	0	0	0	0	0	0
ACTL7A	10881	actin like 7A	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	10880	actin like 7B	0	0	0	0	1	0	0	0	0	0	0	0
ACTL8	81569	actin like 8	0	0	0	0	0	0	0	0	0	0	0	0
ACTL9	284382	actin like 9	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	87	actinin alpha 1	446	121	289	260	135	173	178	68	10	14	5	6
ACTN1-AS1	161159	ACTN1 antisense RNA 1	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	88	actinin alpha 2	0	0	0	0	0	0	0	0	0	0	0	0
ACTN3	89	actinin alpha 3 (gene/pseudogene)	0	0	0	0	149	0	0	0	0	0	0	0
ACTN4	81	actinin alpha 4	13215	15979	11425	14147	17073	8602	11694	15329	12602	12961	4692	2611
ACTR10	55860	actin related protein 10 homolog	109	640	535	154	409	638	444	1365	501	1364	0	1
ACTR1A	10121	ARP1 actin related protein 1 homolog A	1799	1864	1481	1398	1798	1612	1637	1672	828	1892	268	1083
ACTR1B	10120	ARP1 actin related protein 1 homolog B	250	455	237	13	342	0	1013	144	90	1822	1	23
ACTR2	10097	ARP2 actin related protein 2 homolog	16177	18678	13486	16754	15769	10051	11982	21890	16917	12487	9262	5898
ACTR3	10096	ARP3 actin related protein 3 homolog	9302	10462	4622	6894	8692	4430	4598	9643	6002	5891	4995	2420
ACTR3B	57180	ARP3 actin related protein 3 homolog B	238	74	0	3	94	0	345	0	0	724	0	0
ACTR3BP2	440888	ACTR3B pseudogene 2	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	399746	ACTR3B pseudogene 5	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	653857	ARP3 actin related protein 3 homolog C	0	0	66	0	0	0	0	0	0	0	0	0
ACTR5	79913	ARP5 actin related protein 5 homolog	35	96	24	2	173	2	333	89	0	0	0	0
ACTR6	64431	ARP6 actin related protein 6 homolog	176	433	77	1141	286	1	189	662	438	0	55	5
ACTR8	93973	ARP8 actin related protein 8 homolog	929	780	208	1061	271	874	1330	1674	746	503	13	106
ACTRT1	139741	actin related protein T1	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	140625	actin related protein T2	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	84517	actin related protein T3	0	22	0	0	0	0	0	0	0	0	0	0
ACVR1	90	activin A receptor type 1	682	665	766	868	372	341	409	643	311	2707	307	626
ACVR1B	91	activin A receptor type 1B	2	412	287	865	607	663	0	315	840	344	480	1
ACVR1C	130399	activin A receptor type 1C	0	185	118	0	14	0	288	0	0	0	0	0
ACVR2A	92	activin A receptor type 2A	57	343	283	326	744	227	670	774	398	367	0	143
ACVR2B	93	activin A receptor type 2B	10	98	623	239	467	242	4	2	50	5	7	17
ACVR2B-AS1	100128640	ACVR2B antisense RNA 1	1	0	0	0	0	4	0	0	0	0	0	0
ACVRL1	94	activin A receptor like type 1	0	0	0	0	0	0	0	0	0	0	1	0
ACY1	95	aminoacylase 1	0	0	0	0	0	0	0	0	0	0	0	0
ACY3	91703	aminoacylase 3	0	0	0	0	0	0	0	0	0	0	0	0
ACYP1	97	acylphosphatase 1	3	137	32	96	0	0	2	259	0	4	0	0
ACYP2	98	acylphosphatase 2	0	36	0	1	0	0	0	0	0	0	0	0
ADA	100	adenosine deaminase	712	785	651	427	1404	273	697	544	1065	613	1	2
ADAD1	132612	adenosine deaminase domain containing 1	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	161931	adenosine deaminase domain containing 2	0	0	0	0	0	96	1	0	0	0	0	0
ADAL	161823	adenosine deaminase like	127	76	128	0	0	0	689	628	296	0	10	0
ADAM10	102	ADAM metallopeptidase domain 10	5351	3850	3847	5666	4513	3586	4159	7674	5945	5846	3986	435
ADAM11	4185	ADAM metallopeptidase domain 11	0	0	0	0	0	43	0	0	0	1	0	0
ADAM12	8038	ADAM metallopeptidase domain 12	0	261	0	0	0	0	0	275	23	1	0	0
ADAM15	8751	ADAM metallopeptidase domain 15	86	246	253	0	597	100	0	15	0	0	0	0
ADAM17	6868	ADAM metallopeptidase domain 17	739	327	1113	1322	1771	316	637	458	1612	4	514	4
ADAM18	8749	ADAM metallopeptidase domain 18	0	0	0	0	0	518	0	0	0	0	0	0
