ENTREZID	SYMBOL	GENENAME	logFC	logCPM	F	PValue	FDR
51014	TMED7	transmembrane p24 trafficking protein 7	1.233582057	6.4161978	6.265492565	0.012613618	1
79811	SLTM	SAFB like transcription modulator	-0.640475907	7.8462508	6.21371858	0.01298324	1
8651	SOCS1	suppressor of cytokine signaling 1	-4.65888768	4.428651787	6.193494398	0.013130642	1
114908	TMEM123	transmembrane protein 123	0.487110427	8.869314486	6.082420628	0.013971539	1
81606	LBH	limb bud and heart development	0.41943677	9.654564262	6.072007903	0.014053168	1
23336	SYNM	synemin	-0.927936789	6.897213022	6.0419024	0.014291955	1
7905	REEP5	receptor accessory protein 5	0.721112158	7.525396858	5.99465461	0.01467519	1
6161	RPL32	ribosomal protein L32	0.427206649	9.590717687	5.981150018	0.014786667	1
5166	PDK4	pyruvate dehydrogenase kinase 4	-9.904838964	2.640621769	5.960701895	0.014959662	1
377	ARF3	ADP ribosylation factor 3	0.654409371	7.7862538	5.950116946	0.015046164	1
83641	FAM107B	family with sequence similarity 107 member B	0.433253566	9.399674161	5.93131105	0.015205703	1
1615	DARS	aspartyl-tRNA synthetase	0.908099113	6.943105989	5.906330389	0.015420334	1
54765	TRIM44	tripartite motif containing 44	-1.330083212	6.241826791	5.900880609	0.015467572	1
140459	ASB6	ankyrin repeat and SOCS box containing 6	-3.545528843	4.782444111	5.895633794	0.015513192	1
339500	ZNF678	zinc finger protein 678	-2.913935374	5.184351518	5.857648842	0.015847643	1
23476	BRD4	bromodomain containing 4	-0.658472763	7.71955879	5.850058786	0.015915361	1
8365	HIST1H4H	histone cluster 1 H4 family member h	6.6307826	4.455949502	5.77914584	0.016562685	1
10797	MTHFD2	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"	0.717809633	7.500425158	5.762515122	0.016718402	1
1974	EIF4A2	eukaryotic translation initiation factor 4A2	-0.508022299	8.670748311	5.740480389	0.017023813	1
3275	PRMT2	protein arginine methyltransferase 2	0.967606578	6.737024883	5.72056296	0.017117977	1
3094	HINT1	histidine triad nucleotide binding protein 1	0.516891885	8.497482948	5.712629629	0.017194643	1
5660	PSAP	prosaposin	0.507771704	8.529309017	5.704880836	0.017269869	1
1520	CTSS	cathepsin S	1.230923957	6.590036332	5.827803747	0.017432624	1
79596	RNF219	ring finger protein 219	7.660493456	4.485908715	5.68840136	0.01759896	1
10406	WFDC2	WAP four-disulfide core domain 2	6.787193849	4.56422326	5.738401277	0.017860356	1
23078	VWA8	von Willebrand factor A domain containing 8	-1.417143321	5.982915694	5.632270942	0.017991547	1
5127	CDK16	cyclin dependent kinase 16	-2.1669046	5.514258967	5.63029375	0.018034721	1
81671	VMP1	vacuole membrane protein 1	-0.561794731	8.141262108	5.616849271	0.018148805	1
6611	SMS	spermine synthase	1.000384392	6.657362505	5.590491283	0.018420888	1
51510	CHMP5	charged multivesicular body protein 5	1.625268919	5.926140577	5.58324619	0.018496414	1
25949	SYF2	SYF2 pre-mRNA splicing factor	0.861774194	7.178859659	5.628945604	0.018536691	1
3576	CXCL8	C-X-C motif chemokine ligand 8	2.476380588	6.689141539	7.963698549	0.018739232	1
7150	TOP1	topoisomerase (DNA) I	0.57507371	7.95502086	5.539433597	0.018960028	1
9709	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	0.555451249	8.091899505	5.538761405	0.018967234	1
51371	POMP	proteasome maturation protein	1.018708068	6.633564362	5.53595859	0.018997311	1
79064	TMEM223	transmembrane protein 223	8.411031776	3.506500939	5.533622125	0.019022422	1
5026	P2RX5	purinergic receptor P2X 5	-9.587967684	1.758835256	5.525757812	0.019110032	1
84166	NLRC5	NLR family CARD domain containing 5	-0.747777877	7.385154862	5.514708056	0.019226968	1
25942	SIN3A	SIN3 transcription regulator family member A	0.569543448	7.991043282	5.498522634	0.019403815	1
150468	CKAP2L	cytoskeleton associated protein 2 like	8.515515332	2.979336735	5.486381915	0.019538288	1
54617	INO80	INO80 complex subunit	-1.497066297	5.973483674	5.480359261	0.019604285	1
109731405	PDXDC2P	"pyridoxal dependent decarboxylase domain containing 2, pseudogene"	-2.428177773	5.446668388	5.487188705	0.019705442	1
63892	THADA	"THADA, armadillo repeat containing"	-1.852603309	6.309513317	6.092838904	0.01993421	1
9801	MRPL19	mitochondrial ribosomal protein L19	-2.198915277	5.426510804	5.424593445	0.020233305	1
2280	FKBP1A	FK506 binding protein 1A	0.595204148	7.881430454	5.372748796	0.020836888	1
94103	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3	1.097433732	6.393259248	5.365133369	0.02092711	1
5591	PRKDC	"protein kinase, DNA-activated, catalytic polypeptide"	-0.512922843	8.371056104	5.354927396	0.021048659	1
9948	WDR1	WD repeat domain 1	0.585280129	7.912602704	5.352213944	0.021081098	1
93589	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4	-8.927977035	2.115546478	5.343931866	0.021183401	1
26135	SERBP1	SERPINE1 mRNA binding protein 1	0.404139725	9.469233464	5.335675482	0.021279941	1
55143	CDCA8	cell division cycle associated 8	8.270512581	2.66172956	5.335148196	0.021289288	1
9782	MATR3	matrin 3	0.411546168	9.379405786	5.323578148	0.021426621	1
22898	DENND3	DENN domain containing 3	-2.789829529	5.031489302	5.315595619	0.021523984	1
100129354	NRADDP	"neurotrophin receptor associated death domain, pseudogene"	-9.026338488	2.965055576	5.298253031	0.021738594	1
925	CD8A	CD8a molecule	0.361951681	10.18630798	5.249331827	0.022350163	1
80195	TMEM254	transmembrane protein 254	8.999367058	1.59080676	5.226384343	0.022646953	1
2683	B4GALT1	"beta-1,4-galactosyltransferase 1"	-0.448605941	8.879641432	5.194542981	0.023058143	1
118491	CFAP70	cilia and flagella associated protein 70	8.308364351	3.315967952	5.18552172	0.023178469	1
9500	MAGED1	MAGE family member D1	1.768919092	5.79727615	5.146361718	0.02370001	1
88455	ANKRD13A	ankyrin repeat domain 13A	1.212369745	6.299915784	5.134318497	0.023863335	1
2289	FKBP5	FK506 binding protein 5	0.505299199	8.343848154	5.124051703	0.024003493	1
80233	FAAP100	Fanconi anemia core complex associated protein 100	-8.839204693	3.33326231	5.106681765	0.024242574	1
9833	MELK	maternal embryonic leucine zipper kinase	8.012055629	2.850724878	5.095074104	0.024403724	1
9926	LPGAT1	lysophosphatidylglycerol acyltransferase 1	0.820881469	6.951232677	5.08059501	0.024606302	1
100134229	JHDM1D-AS1	JHDM1D antisense RNA 1 (head to head)	8.246205923	2.48817064	5.066664526	0.024806031	1
6509	SLC1A4	solute carrier family 1 member 4	1.155913045	6.369379915	5.062338633	0.024864227	1
2634	GBP2	guanylate binding protein 2	-0.46508184	8.655857327	5.058121498	0.024924206	1
117289	TAGAP	T-cell activation RhoGTPase activating protein	-0.609993134	8.060482054	5.210930061	0.024951507	1
338440	ANO9	anoctamin 9	-7.283342368	3.42415127	5.055037724	0.024968161	1
6653	SORL1	sortilin related receptor 1	-0.456033607	8.812426878	5.041536035	0.025174594	1
203068	TUBB	tubulin beta class I	0.655023684	7.612609939	5.030000519	0.025328032	1
55629	PNRC2	proline rich nuclear receptor coactivator 2	-0.534786284	8.156052361	5.023098389	0.025458569	1
8815	BANF1	barrier to autointegration factor 1	7.056161047	3.462980282	5.013437863	0.02556986	1
27332	ZNF638	zinc finger protein 638	-0.649753791	7.573802132	5.010549935	0.025611332	1
1312	COMT	catechol-O-methyltransferase	-9.333781041	3.032980142	5.010144602	0.025617271	1
9694	EMC2	ER membrane protein complex subunit 2	8.551513786	2.407294767	5.00772583	0.025653539	1
11120	BTN2A1	butyrophilin subfamily 2 member A1	-1.54516831	5.871002228	4.993732471	0.025858942	1
25885	POLR1A	RNA polymerase I subunit A	-2.072047742	5.4035277	4.984539754	0.025995342	1
119504	ANAPC16	anaphase promoting complex subunit 16	0.857843747	6.835071008	4.959911272	0.026364487	1
7153	TOP2A	topoisomerase (DNA) II alpha	1.243745001	6.150021818	4.954466362	0.026446833	1
22883	CLSTN1	calsyntenin 1	-0.718295282	7.346638598	4.947840878	0.026547396	1
11259	FILIP1L	filamin A interacting protein 1 like	8.743220751	2.38305446	4.936499517	0.026723732	1
57472	CNOT6	CCR4-NOT transcription complex subunit 6	0.758949339	7.118524605	4.935782683	0.026731441	1
23787	MTCH1	mitochondrial carrier 1	-1.820069292	5.589423199	4.917346955	0.027015404	1
345462	ZNF879	zinc finger protein 879	8.461701908	1.608200904	4.908310511	0.027159029	1
63940	GPSM3	G-protein signaling modulator 3	-1.770103609	5.804443489	4.907313953	0.027274689	1
100131117	ZBTB20-AS1	ZBTB20 antisense RNA 1	-8.673553655	0.997483467	4.889735142	0.027449909	1
10477	UBE2E3	ubiquitin conjugating enzyme E2 E3	-3.620817469	4.856757111	4.886407059	0.027645015	1
51400	PPME1	protein phosphatase methylesterase 1	8.401876595	3.363802729	4.87699718	0.027647942	1
4155	MBP	myelin basic protein	-0.519963876	8.302373365	4.897914518	0.02773335	1
8864	PER2	period circadian clock 2	2.163901818	5.247349637	4.870006967	0.027759084	1
8241	RBM10	RNA binding motif protein 10	-1.391496936	5.961475678	4.869726466	0.027763554	1
25788	RAD54B	RAD54 homolog B (S. cerevisiae)	8.77868587	1.917715752	4.861427141	0.027896965	1
4069	LYZ	lysozyme	3.146966001	5.353148082	5.017206895	0.027938745	1
